src_bytes,dst_bytes,same_srv_rate,diff_srv_rate,flag_SF,dst_host_srv_count,dst_host_same_srv_rate,logged_in,dst_host_serror_rate,dst_host_diff_srv_rate,dst_host_srv_serror_rate,serror_rate,srv_serror_rate,flag_S0,count,service_http,dst_host_srv_diff_host_rate,level,dst_host_count,dst_host_same_src_port_rate,service_private,srv_diff_host_rate,srv_count,dst_host_srv_rerror_rate,service_domain_u,target
0,0,0.14,0.06,False,11,0.02,0,1.0,0.06,1.0,1.0,1.0,True,45,False,0.0,21,255,0.0,True,0.0,4,0.0,False,1
213,1304,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,7,True,0.04,21,7,0.06,False,0.21,11,0.0,False,0
0,0,1.0,0.0,False,223,1.0,0,0.0,0.0,0.0,0.0,0.0,False,1,True,0.12,21,18,0.09,False,0.55,2,0.67,False,0
707,8,1.0,0.0,True,255,1.0,0,0.0,0.0,0.0,0.0,0.0,False,220,False,0.0,18,255,1.0,False,0.0,322,0.0,False,1
283,1687,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,4,True,0.01,21,217,0.0,False,0.0,4,0.0,False,0
0,0,0.02,0.06,False,5,0.0,0,1.0,0.04,1.0,1.0,1.0,True,172,False,0.0,18,255,0.01,False,0.0,1,0.0,False,1
373,506,1.0,0.0,True,124,0.15,1,0.1,0.06,0.01,0.0,0.0,False,1,False,0.04,21,32,0.02,False,0.0,1,0.0,False,0
39,0,0.59,0.96,True,7,0.02,0,0.0,0.46,0.0,0.0,0.0,False,2,False,0.0,20,255,0.63,False,0.0,2,0.0,False,0
0,0,0.13,0.06,False,20,0.07,0,1.0,0.06,1.0,1.0,1.0,True,131,False,0.0,19,255,0.0,False,0.0,9,0.0,False,1
0,0,0.06,0.06,False,79,0.05,0,0.05,0.06,0.0,0.35,1.0,True,250,False,0.0,18,255,0.0,False,0.0,24,0.0,False,1
0,0,0.02,0.06,False,4,0.01,0,1.0,0.06,1.0,1.0,1.0,True,113,False,0.0,21,255,0.0,True,0.0,3,0.0,False,1
206,1398,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,2,True,0.05,21,76,0.03,False,0.0,2,0.0,False,0
16,0,1.0,0.0,True,203,0.85,0,0.0,0.06,0.0,0.0,0.0,False,2,False,0.0,18,255,0.61,False,0.01,159,0.0,True,0
202,87,0.02,0.0,True,1,0.03,0,0.0,0.63,0.0,0.0,0.0,False,2,False,0.0,19,255,0.0,False,0.0,2,0.0,False,0
276,1310,1.0,0.0,True,140,0.79,1,0.0,0.03,0.0,0.0,0.0,False,4,False,0.0,21,168,0.01,False,0.0,6,0.0,False,0
1,68,1.0,0.0,True,1,0.02,0,0.0,0.01,0.0,0.0,0.0,False,104,False,0.0,21,255,1.0,True,0.0,2,0.0,False,0
0,0,0.09,0.06,False,10,0.06,0,1.0,0.06,1.0,1.0,1.0,True,297,False,0.0,21,255,0.0,True,0.0,4,0.0,False,1
0,0,0.1,0.06,False,15,0.02,0,1.0,0.05,1.0,1.0,1.0,True,66,False,0.0,21,255,0.0,False,0.0,10,0.0,False,1
202,2656,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,5,True,0.0,21,255,0.0,False,0.0,11,0.0,False,0
256,418,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,10,True,0.0,21,255,0.0,False,0.37,8,0.0,False,0
183,0,1.0,0.0,True,255,1.0,1,0.04,0.0,0.01,0.0,0.0,False,3,True,0.04,21,23,0.02,False,0.0,3,0.0,False,0
0,0,0.09,0.05,False,20,0.05,0,1.0,0.04,1.0,1.0,1.0,True,279,False,0.0,20,255,0.0,False,0.0,9,0.0,False,1
0,0,0.15,0.06,False,6,0.05,0,0.0,0.07,0.0,0.0,0.0,False,120,False,0.0,21,255,0.0,True,0.0,19,1.0,False,1
11,0,1.0,0.0,True,11,1.0,0,0.0,0.0,0.0,0.0,0.0,False,1,False,1.0,15,1,1.0,False,0.0,1,0.0,False,1
156,154,1.0,0.0,True,2,0.93,0,0.0,0.01,0.0,0.0,0.0,False,1,False,0.0,21,255,0.02,False,0.0,1,0.0,False,0
8,116,1.0,0.0,True,1,0.0,0,0.0,0.06,0.0,0.0,0.0,False,1,False,0.0,18,255,0.67,False,0.0,1,0.0,False,0
192,2116,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,3,True,0.0,21,150,0.02,False,0.0,4,0.0,False,0
0,0,1.0,0.0,False,1,0.0,0,0.0,0.59,0.0,0.0,0.0,False,1,False,0.0,21,255,0.86,True,0.0,1,1.0,False,1
151,3250,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,1,True,0.04,21,2,0.16,False,0.51,3,0.0,False,0
0,0,0.06,0.05,False,9,0.04,0,1.0,0.05,1.0,1.0,1.0,True,130,False,0.0,20,255,0.0,False,0.0,9,0.0,False,1
0,0,0.11,0.06,False,13,0.08,0,1.0,0.07,1.0,1.0,1.0,True,146,False,0.0,21,255,0.0,True,0.0,12,0.0,False,1
0,0,0.1,0.06,False,4,0.55,0,1.0,0.04,1.0,1.0,1.0,True,23,False,0.0,21,80,0.02,False,0.0,20,0.0,False,1
0,0,0.16,0.21,False,36,0.03,0,1.0,0.06,1.0,1.0,1.0,True,57,False,0.0,20,255,0.01,True,0.0,3,0.0,False,1
31,79,1.0,0.0,True,210,0.68,0,0.0,0.07,0.0,0.0,0.0,False,188,False,0.0,19,255,0.01,False,0.0,134,0.0,False,1
265,1916,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,16,True,0.0,21,255,0.0,False,0.0,10,0.0,False,0
171,1212,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,14,True,0.04,21,60,0.01,False,0.0,5,0.0,False,0
196,1088,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,6,True,0.1,21,2,0.01,False,0.37,4,0.0,False,0
20,0,0.53,0.94,True,6,0.07,1,0.02,0.02,0.0,0.0,0.0,False,2,False,0.0,20,167,0.17,False,0.0,1,0.0,False,0
0,0,0.07,0.06,False,4,0.05,0,0.0,0.06,0.0,0.0,0.0,False,135,False,0.0,20,255,0.0,False,0.0,13,1.0,False,1
0,0,1.0,0.0,False,2,0.0,0,0.0,0.9,0.0,0.0,0.0,False,1,False,0.0,19,166,0.72,False,0.0,1,1.0,False,1
1,0,1.0,0.0,False,8,0.02,0,0.0,0.48,0.0,0.0,0.0,False,1,False,0.0,15,58,1.0,True,0.99,20,1.0,False,1
166,5465,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,8,True,0.04,21,14,0.02,False,0.19,10,0.0,False,0
0,0,0.11,0.06,False,14,0.07,0,1.0,0.06,1.0,1.0,1.0,True,115,False,0.0,21,255,0.0,True,0.0,9,0.0,False,1
0,0,0.02,0.06,False,12,0.03,0,1.0,0.05,1.0,1.0,1.0,True,121,False,0.0,18,255,0.0,False,0.0,2,0.0,False,1
248,1345,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,15,True,0.02,21,32,0.01,False,0.09,27,0.0,False,0
44,0,1.0,0.0,True,9,0.02,0,0.0,0.0,0.0,0.0,0.0,False,2,False,0.0,15,58,1.0,True,0.0,21,0.0,False,1
235,2235,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,16,True,0.04,21,87,0.01,False,0.11,27,0.0,False,0
0,0,0.09,0.07,False,3,0.05,0,0.0,0.07,0.0,0.0,0.0,False,130,False,0.0,21,255,0.0,True,0.0,13,1.0,False,1
140,124,1.0,0.48,True,1,0.0,0,0.0,0.42,0.0,0.0,0.0,False,1,False,0.0,19,255,0.83,False,0.0,1,0.0,False,0
210,2117,1.0,0.0,True,255,1.0,0,0.06,0.0,0.05,0.34,0.33,False,8,True,0.0,21,255,0.0,False,0.0,4,0.0,False,0
249,1170,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,13,True,0.04,21,187,0.01,False,0.0,19,0.0,False,0
559,321,1.0,0.0,True,212,0.91,1,0.0,0.02,0.0,0.0,0.0,False,1,False,0.0,21,237,0.01,False,1.0,2,0.0,False,0
2164,118,1.0,0.0,True,3,0.56,1,0.0,0.03,0.0,0.0,0.0,False,1,False,0.0,21,214,0.54,False,0.0,1,0.0,False,0
0,0,0.11,0.05,False,6,0.05,0,1.0,0.05,1.0,1.0,1.0,True,244,False,0.0,19,255,0.0,False,0.0,15,0.0,False,1
0,0,0.17,0.06,False,13,0.06,0,1.0,0.07,1.0,1.0,1.0,True,244,False,0.0,20,255,0.0,False,0.0,17,0.0,False,1
0,0,0.01,0.06,False,1,0.0,0,0.19,0.06,1.0,0.11,1.0,False,108,False,0.0,19,255,0.0,False,0.0,1,0.0,False,1
0,0,0.02,0.07,False,1,0.0,0,0.5,0.06,0.0,0.22,0.0,False,232,False,0.0,19,255,0.0,False,0.0,1,1.0,False,1
0,0,0.18,0.06,False,6,0.06,0,1.0,0.04,1.0,1.0,1.0,True,114,False,0.0,21,255,0.0,True,0.0,11,0.0,False,1
143,1749,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,7,True,0.04,21,152,0.02,False,0.12,17,0.0,False,0
0,0,0.02,0.07,False,3,0.01,0,1.0,0.06,1.0,1.0,1.0,True,120,False,0.0,19,255,0.0,True,0.0,3,0.0,False,1
180,2403,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,6,True,0.0,21,255,0.0,False,0.0,13,0.0,False,0
30,67,1.0,0.0,True,254,0.57,0,0.0,0.04,0.0,0.0,0.0,False,112,False,0.0,18,255,0.02,False,0.0,161,0.0,True,0
308,2758,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,14,True,0.04,21,10,0.09,False,0.17,39,0.0,False,0
22,65,1.0,0.0,True,242,0.85,0,0.0,0.01,0.0,0.0,0.0,False,1,False,0.0,21,255,0.0,False,0.16,12,0.0,True,0
0,0,0.07,0.07,False,4,0.03,0,1.0,0.07,1.0,1.0,1.0,True,132,False,0.0,21,255,0.0,False,0.0,7,0.0,False,1
0,0,0.08,0.06,False,72,0.17,0,0.0,0.03,1.0,0.0,0.0,False,146,False,0.0,18,255,0.0,False,0.0,232,0.0,False,1
0,0,1.0,0.0,False,55,0.02,0,0.0,0.61,0.0,0.0,0.0,False,2,False,0.0,15,141,1.0,True,0.0,14,1.0,False,1
16,0,1.0,0.0,True,20,1.0,0,0.0,0.0,0.0,0.0,0.0,False,1,False,0.52,16,2,1.0,False,0.0,1,0.0,False,1
0,0,0.25,0.06,False,4,0.04,0,1.0,0.1,1.0,1.0,1.0,True,133,False,0.0,18,255,0.01,True,0.0,14,0.0,False,1
227,0,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,10,True,0.04,21,16,0.06,False,0.11,27,0.0,False,0
1067,115,1.0,0.0,True,255,1.0,0,0.0,0.0,0.0,0.0,0.0,False,260,False,0.0,18,255,0.75,False,0.0,371,0.0,False,0
222,1875,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,22,True,0.0,21,255,0.0,False,0.0,8,0.0,False,0
18,101,1.0,0.0,True,239,0.94,0,0.0,0.01,0.0,0.0,0.0,False,257,False,0.0,20,255,0.0,False,0.01,199,0.0,True,0
191,61,1.0,0.0,True,7,0.95,0,0.0,0.01,0.0,0.0,0.0,False,4,False,0.0,21,255,0.0,False,0.0,1,0.0,False,0
0,0,0.13,0.07,False,4,0.06,0,1.0,0.06,1.0,1.0,1.0,True,123,False,0.0,18,82,0.01,True,0.0,8,0.0,False,1
0,0,0.07,0.06,False,9,0.01,0,1.0,0.06,1.0,1.0,1.0,True,232,False,0.0,20,255,0.0,False,0.0,5,0.0,False,1
0,0,0.02,0.06,False,2,0.0,0,1.0,0.06,1.0,1.0,1.0,True,266,False,0.0,20,255,0.0,False,0.0,1,0.0,False,1
0,0,0.24,0.06,True,17,0.05,0,1.0,0.04,1.0,0.0,1.0,False,141,False,0.0,21,255,0.0,False,0.0,11,0.0,False,1
38,0,1.0,0.0,True,15,1.0,0,0.0,0.0,0.0,0.0,0.0,False,260,False,0.11,18,14,0.15,False,0.3,22,0.0,True,0
20,63,1.0,0.0,True,249,0.98,0,0.0,0.01,0.0,0.0,0.0,False,3,False,0.0,20,255,0.0,False,0.0,3,0.0,True,0
7245,2728,1.0,0.0,True,17,0.4,1,0.09,0.04,0.0,0.0,0.0,False,1,False,0.0,8,119,0.01,False,0.0,1,0.0,False,0
0,0,0.07,0.06,False,7,0.04,0,1.0,0.06,1.0,1.0,1.0,True,128,False,0.0,21,255,0.0,True,0.0,12,0.0,False,1
0,0,0.12,0.05,False,9,0.06,0,1.0,0.07,1.0,1.0,1.0,True,215,False,0.0,21,255,0.0,True,0.0,16,0.0,False,1
18,0,1.0,0.0,True,156,0.74,0,0.0,0.04,0.0,0.0,0.0,False,1,False,0.01,20,175,0.5,False,1.0,8,0.0,True,0
267,1694,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,15,True,0.01,21,205,0.0,False,0.0,16,0.0,False,0
30,76,1.0,0.0,True,255,1.0,0,0.0,0.0,0.0,0.0,0.0,False,62,False,0.0,20,255,0.0,False,0.13,166,0.0,True,0
0,0,0.04,0.06,False,13,0.06,0,1.0,0.07,1.0,1.0,1.0,True,190,False,0.0,21,255,0.0,True,0.0,13,0.0,False,1
0,0,1.0,0.0,False,20,0.6,0,0.0,0.0,0.02,0.0,0.0,False,24,True,0.2,21,24,0.19,False,0.0,12,0.44,False,0
0,0,0.1,0.06,False,17,0.05,0,1.0,0.05,1.0,1.0,1.0,True,116,False,0.0,19,255,0.0,False,0.0,15,0.0,False,1
22,85,1.0,0.0,True,242,0.85,0,0.0,0.04,0.0,0.0,0.0,False,1,False,0.0,21,255,0.0,False,0.0,1,0.0,False,0
0,0,0.08,0.07,False,15,0.08,0,1.0,0.07,1.0,1.0,1.0,True,203,False,0.0,20,255,0.0,True,0.0,13,0.0,False,1
227,328,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,1,True,0.01,21,193,0.01,False,1.0,9,0.0,False,0
20,51,1.0,0.0,True,254,1.0,0,0.0,0.01,0.0,0.0,0.0,False,142,False,0.0,18,255,0.0,False,0.14,151,0.0,True,0
247,12700,1.0,0.0,True,41,0.16,1,0.0,0.12,0.0,0.0,0.0,False,2,True,0.05,21,39,0.02,False,0.0,3,0.0,False,0
0,0,0.15,0.06,False,3,0.03,0,1.0,0.04,1.0,1.0,1.0,True,153,False,0.0,18,255,0.0,False,0.0,10,0.0,False,1
209,4057,1.0,0.0,True,255,1.0,1,0.11,0.0,0.0,0.0,0.0,False,9,True,0.04,21,13,0.09,False,0.0,9,0.0,False,0
9,0,1.0,0.0,True,164,1.0,0,0.0,0.0,0.0,0.0,0.0,False,1,False,0.49,15,1,1.0,False,0.98,45,0.0,False,1
248,378,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,76,True,0.0,21,255,0.0,False,0.0,183,0.0,False,0
0,0,1.0,0.0,False,255,1.0,0,0.0,0.0,0.0,0.0,0.0,False,1,True,0.11,21,1,0.83,False,0.0,1,0.88,False,0
186,1457,1.0,0.0,True,235,0.95,1,0.0,0.05,0.0,0.0,0.0,False,3,True,0.0,21,255,0.0,False,0.0,6,0.0,False,0
0,0,0.01,0.06,False,1,0.04,0,0.0,0.06,0.0,0.0,0.0,False,254,False,0.0,19,255,0.0,False,0.0,7,1.0,False,1
322,12889,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,15,True,0.0,20,255,0.41,False,0.0,12,0.0,False,0
0,0,0.2,0.06,False,3,0.01,0,1.0,0.07,1.0,1.0,1.0,True,77,False,0.0,19,255,0.0,False,0.0,9,0.0,False,1
0,0,1.0,0.06,False,11,0.01,0,0.0,0.58,0.0,0.0,0.0,False,284,False,0.0,19,255,1.0,False,0.0,13,1.0,False,1
1062,329,1.0,0.0,True,138,0.78,1,0.0,0.04,0.0,0.0,0.0,False,1,False,0.0,21,119,0.02,False,0.0,1,0.13,False,0
0,0,0.04,0.06,False,10,0.05,0,1.0,0.04,1.0,1.0,1.0,True,244,True,0.0,18,255,0.0,False,0.0,9,0.0,False,1
19,323,1.0,0.0,True,181,0.85,0,0.0,0.04,0.0,0.0,0.0,False,1,False,0.0,21,250,0.0,False,1.0,3,0.0,True,0
306,448,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,8,True,0.0,21,255,0.0,False,0.16,13,0.0,False,0
230,8671,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,3,True,0.04,21,141,0.12,False,0.0,3,0.0,False,0
0,0,0.13,0.06,False,17,0.07,0,1.0,0.06,1.0,1.0,1.0,True,137,False,0.0,19,255,0.0,False,0.0,17,0.0,False,1
3885,0,1.0,0.0,True,59,0.24,1,0.0,0.08,0.0,0.0,0.0,False,1,False,0.04,21,81,0.21,False,0.0,1,0.0,False,0
0,0,0.06,0.06,False,5,0.04,0,1.0,0.07,1.0,1.0,1.0,True,233,False,0.0,21,255,0.0,True,0.0,12,0.0,False,1
196,6477,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,15,True,0.04,21,77,0.01,False,0.0,4,0.0,False,0
999,1902,1.0,0.0,True,227,0.82,0,0.0,0.01,0.0,0.0,0.0,False,1,False,0.0,21,255,0.0,False,0.0,3,0.0,False,0
258,920,1.0,0.0,True,255,1.0,0,0.0,0.0,0.0,0.0,0.0,False,1,True,0.02,21,2,1.0,False,0.57,8,0.0,False,0
36,356,1.0,0.0,True,60,0.83,1,0.07,0.06,0.0,0.0,0.0,False,1,False,0.0,15,95,0.02,True,0.0,2,0.26,False,1
0,0,0.12,0.06,False,1,0.01,0,1.0,0.06,1.0,1.0,1.0,True,194,False,0.0,18,255,0.0,False,0.0,10,0.0,False,1
0,0,0.2,0.06,False,15,0.04,0,1.0,0.06,1.0,1.0,1.0,True,108,False,0.0,21,255,0.0,True,0.0,11,0.0,False,1
5647,6370,1.0,0.0,True,148,0.89,1,0.09,0.04,0.0,0.0,0.0,False,1,False,0.0,20,144,0.46,False,0.0,1,0.0,False,0
0,0,0.04,0.06,False,10,0.01,0,0.0,0.07,0.0,0.0,0.0,False,194,False,0.0,21,255,0.0,True,0.0,37,1.0,False,1
43,58,0.17,0.48,True,16,0.05,0,0.0,0.6,0.0,0.0,0.0,False,183,False,0.0,19,11,0.08,False,0.32,10,0.0,True,0
35,2324,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,136,True,0.0,18,255,0.0,False,0.0,158,0.0,False,0
0,0,0.08,0.06,False,11,0.02,0,1.0,0.06,1.0,1.0,1.0,True,224,False,0.0,18,255,0.0,False,0.0,4,0.0,False,1
203,7415,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,5,True,0.0,21,255,0.0,False,0.0,6,0.0,False,0
8721,0,1.0,0.0,True,69,0.43,1,0.37,0.02,0.0,0.0,0.0,False,10,False,0.0,18,86,0.35,False,0.0,5,0.0,False,1
195,0,0.53,0.98,True,4,0.02,0,0.06,0.06,0.0,0.0,0.0,False,2,False,0.0,20,255,0.27,False,0.0,1,0.0,False,0
0,0,1.0,0.0,False,255,1.0,0,0.08,0.0,0.01,0.0,0.06,False,1,True,0.05,20,20,0.3,False,0.0,1,0.75,False,0
