src_bytes,dst_bytes,same_srv_rate,diff_srv_rate,flag_SF,dst_host_srv_count,dst_host_same_srv_rate,logged_in,dst_host_serror_rate,dst_host_diff_srv_rate,dst_host_srv_serror_rate,serror_rate,srv_serror_rate,flag_S0,count,service_http,dst_host_srv_diff_host_rate,level,dst_host_count,dst_host_same_src_port_rate,service_private,srv_diff_host_rate,srv_count,dst_host_srv_rerror_rate,service_domain_u,target
0,0,0.04,0.05,False,17,0.06,0,1.0,0.05,1.0,1.0,1.0,True,144,False,0.0,21,255,0.0,True,0.0,23,0.0,False,1
0,3367,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,18,True,0.05,21,15,0.04,False,0.08,17,0.0,False,0
0,2791,1.0,0.0,True,255,1.0,1,0.0,0.0,0.01,0.0,0.0,False,2,True,0.03,21,12,0.5,False,0.0,3,0.0,False,0
12584,0,1.0,0.0,True,172,0.55,1,0.0,0.08,0.0,0.0,0.0,False,0,False,0.01,21,29,0.05,False,1.0,1,0.0,False,0
6874,4416,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,10,True,0.02,21,37,0.01,False,0.07,48,0.0,False,0
260,286,0.06,0.06,False,2,0.02,0,0.0,0.07,0.0,0.0,0.0,False,126,False,0.0,21,255,0.0,False,0.0,13,1.0,False,1
0,3797,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,27,True,0.03,21,92,0.01,False,0.08,30,0.0,False,0
11900,3148,1.0,0.0,True,54,0.1,1,0.0,0.08,0.01,0.0,0.0,False,0,False,0.03,20,45,0.02,False,0.0,2,0.0,False,0
0,0,0.04,0.07,False,16,0.03,0,1.0,0.1,1.0,1.0,1.0,True,200,False,0.0,20,255,0.0,False,0.0,0,0.0,False,1
0,0,0.05,0.26,False,3,0.05,0,1.0,0.07,1.0,1.0,1.0,True,53,False,0.0,19,238,0.0,False,0.0,2,0.0,False,1
0,0,0.05,0.07,False,1,0.0,0,1.0,0.08,1.0,1.0,1.0,True,132,False,0.0,21,255,0.0,True,0.0,2,0.0,False,1
2197,1739,1.0,0.0,True,62,0.33,0,0.0,0.01,0.0,0.0,0.0,False,3,False,0.03,18,255,0.32,False,0.5,152,0.0,True,0
4632,2889,1.0,0.0,True,9,0.91,0,0.0,0.27,0.0,0.0,0.0,False,1,False,0.0,18,14,0.87,True,0.0,2,0.0,False,1
0,4595,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,10,True,0.04,21,255,0.0,False,0.07,11,0.0,False,0
6259,0,1.0,0.0,False,39,0.09,1,0.92,0.01,0.08,1.0,1.0,False,2,False,0.0,21,115,0.01,False,0.0,2,0.03,False,0
4035,2469,1.0,0.0,True,2,0.0,0,0.0,0.84,0.0,0.0,0.0,False,1,False,0.0,18,255,1.0,False,0.0,503,0.0,False,1
0,0,0.07,0.05,False,22,0.06,0,1.0,0.06,1.0,1.0,1.0,True,131,False,0.0,19,255,0.0,False,0.0,20,0.0,False,1
2824,3421,0.01,0.05,False,5,0.01,0,1.0,0.07,1.0,1.0,1.0,True,221,False,0.0,21,255,0.0,True,0.0,12,0.0,False,1
5658,0,1.0,0.0,False,134,1.0,0,0.0,0.0,0.0,0.0,0.0,False,1,True,0.25,17,0,1.0,False,1.0,3,1.0,False,1
0,0,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,2,True,0.0,21,255,0.0,False,0.39,12,0.0,False,0
7550,9372,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,12,True,0.03,21,22,0.12,False,0.0,13,0.0,False,0
1624,1079,0.07,0.07,False,3,0.01,0,1.0,0.07,1.0,1.0,1.0,True,212,False,0.0,21,255,0.0,False,0.0,11,0.0,False,1
0,0,0.01,0.05,False,0,0.01,0,1.0,0.05,1.0,1.0,1.0,True,207,False,0.0,18,255,0.01,True,0.0,2,0.0,False,1
0,3775,1.0,0.0,True,233,0.92,1,0.02,0.01,0.0,0.0,0.0,False,1,True,0.01,21,199,0.01,False,0.0,15,0.0,False,0
0,0,1.0,0.0,True,115,1.0,0,0.0,0.0,0.0,0.0,0.0,False,2,False,0.5,21,3,1.0,False,1.0,16,0.0,False,0
0,9341,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,8,True,0.06,21,55,0.46,False,0.0,20,0.0,False,0
283,172,1.0,0.0,True,255,1.0,1,0.02,0.0,0.0,0.0,0.0,False,3,True,0.03,21,159,0.01,False,0.18,12,0.0,False,0
0,1408,0.06,0.06,False,19,0.02,0,0.0,0.06,0.0,0.0,0.0,False,145,False,0.0,21,255,0.0,True,0.0,16,1.0,False,1
0,3565,1.0,0.0,False,254,1.0,0,0.1,0.0,0.01,0.24,0.12,True,14,True,0.0,20,255,0.0,False,0.0,3,0.0,False,0
3440,0,0.02,0.07,False,27,0.04,0,1.0,0.08,1.0,1.0,1.0,True,15,False,0.0,20,255,0.0,False,0.0,3,0.0,False,1
0,2563,0.06,0.06,False,20,0.04,0,1.0,0.06,1.0,1.0,1.0,True,119,False,0.0,21,255,0.0,True,0.0,12,0.0,False,1
0,0,1.0,0.0,True,145,1.0,1,0.0,0.0,0.0,0.0,0.0,False,0,False,0.03,21,18,0.65,False,0.0,1,0.0,False,0
0,557,0.01,0.07,False,1,0.0,0,0.0,0.08,0.0,0.0,0.0,False,201,False,0.0,18,255,0.0,True,0.0,2,1.0,False,1
3356,2347,1.0,0.0,True,152,0.5,1,0.01,0.02,0.0,0.0,0.0,False,0,False,0.0,21,108,0.01,False,0.0,1,0.0,False,0
0,3496,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,21,True,0.0,21,255,0.0,False,0.0,13,0.0,False,0
0,8790,1.0,0.0,True,255,1.0,1,0.01,0.0,0.0,0.0,0.0,False,8,True,0.06,21,117,0.01,False,0.08,16,0.0,False,0
0,3101,1.0,0.0,True,137,1.0,1,0.01,0.02,0.01,0.0,0.0,False,7,True,0.03,21,72,0.04,False,0.0,7,0.0,False,0
0,1595,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,5,False,0.01,21,118,0.01,False,0.0,5,0.0,False,0
200,0,0.02,0.06,False,0,0.01,0,0.0,0.08,0.0,0.0,0.0,False,134,False,0.0,21,255,0.0,True,0.0,2,1.0,False,1
5033,1724,0.09,0.06,False,15,0.08,0,1.0,0.05,1.0,1.0,1.0,True,211,False,0.0,18,72,0.01,False,0.0,26,0.0,False,1
0,0,0.06,0.06,False,15,0.03,0,1.0,0.08,1.0,1.0,1.0,True,232,False,0.0,21,255,0.0,True,0.0,10,0.0,False,1
3813,6139,1.0,0.0,True,254,1.0,1,0.0,0.0,0.0,0.0,0.0,False,12,True,0.0,21,255,0.01,False,0.0,15,0.0,False,0
0,0,0.1,0.05,True,21,0.05,0,0.0,0.06,0.0,0.0,0.0,False,242,False,0.0,20,255,0.76,False,0.0,236,0.0,False,1
0,0,0.18,0.07,True,21,0.15,0,1.0,0.06,1.0,1.0,1.0,True,7,False,0.0,21,255,0.0,True,0.0,7,0.0,False,0
14354,0,1.0,0.0,True,10,0.14,0,0.0,0.21,0.0,0.0,0.0,False,1,False,0.0,15,97,0.16,True,0.0,2,0.0,False,1
0,0,0.03,0.07,False,13,0.08,0,0.0,0.08,0.0,0.0,0.0,False,195,False,0.0,20,255,0.0,True,0.0,3,1.0,False,1
0,0,1.0,0.0,False,4,0.04,0,0.0,0.0,0.0,0.0,0.0,False,0,False,0.25,20,3,1.0,False,0.0,1,1.0,False,1
0,0,0.02,0.07,False,2,0.04,0,1.0,0.07,1.0,1.0,1.0,True,230,False,0.0,20,255,0.0,False,0.0,3,0.0,False,1
5135,1375,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,3,True,0.14,21,34,0.01,False,0.17,26,0.02,False,0
0,0,1.0,0.0,False,243,1.0,0,0.0,0.0,0.0,0.0,0.0,False,8,True,0.15,20,4,0.36,False,0.0,1,1.0,False,0
11901,908,1.0,0.0,True,15,0.03,1,0.0,0.26,0.11,0.0,0.0,False,1,False,0.0,20,45,0.12,False,0.0,2,0.0,False,0
0,5463,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,5,True,0.0,21,255,0.0,False,0.0,22,0.0,False,0
5728,529,0.04,0.06,False,4,0.01,0,1.0,0.08,1.0,1.0,1.0,True,144,False,0.0,21,255,0.0,True,0.0,9,0.0,False,1
0,1235,0.05,0.06,False,6,0.01,0,1.0,0.03,1.0,1.0,1.0,True,132,False,0.0,18,255,0.0,False,0.0,15,0.0,False,1
0,0,1.0,0.0,True,0,0.02,0,0.0,0.67,0.0,0.0,0.0,False,0,False,0.0,21,255,0.92,False,0.0,1,0.0,False,0
5040,0,0.26,0.14,False,76,0.25,0,1.0,0.02,1.0,1.0,1.0,True,50,False,0.0,18,255,0.0,True,0.0,3,0.0,False,1
0,0,1.0,0.0,False,247,1.0,0,0.0,0.0,0.0,0.0,0.0,False,0,False,0.13,19,1,1.0,False,0.0,3,0.99,False,0
0,0,0.08,0.06,False,15,0.07,0,1.0,0.07,1.0,1.0,1.0,True,140,False,0.0,20,255,0.0,False,0.0,12,0.0,False,1
0,0,1.0,0.0,True,196,0.73,1,0.0,0.06,0.0,0.0,0.0,False,0,False,0.01,21,43,0.5,False,0.99,4,0.0,False,0
308,0,0.07,0.06,False,149,0.05,0,0.0,0.03,0.0,0.0,0.0,False,131,True,0.09,20,74,0.01,False,0.0,11,1.0,False,1
0,0,1.0,0.0,True,0,0.01,0,0.0,0.16,0.0,0.0,0.0,False,0,False,0.0,21,255,0.12,False,0.0,1,0.0,False,0
0,0,0.51,1.0,True,51,0.89,0,0.0,0.05,0.0,0.0,0.0,False,2,False,0.0,20,255,0.0,False,0.66,12,0.0,True,0
1841,1496,1.0,0.0,True,254,1.0,1,0.0,0.0,0.0,0.0,0.0,False,5,True,0.06,21,155,0.05,False,0.0,13,0.0,False,0
0,845,1.0,0.06,True,244,0.77,0,0.0,0.02,0.0,0.0,0.0,False,103,False,0.0,20,255,0.0,False,0.01,139,0.0,True,0
0,2103,0.0,0.5,False,1,0.01,0,0.0,0.52,0.0,0.0,0.0,True,178,False,0.0,21,255,0.92,False,0.0,0,0.0,False,0
7965,796,1.0,0.0,True,166,0.73,1,0.0,0.05,0.01,0.0,0.0,False,1,False,0.01,20,46,0.02,False,0.99,2,0.0,False,0
1351,0,0.28,0.06,False,43,0.05,0,1.0,0.06,1.0,1.0,1.0,True,78,False,0.0,20,255,0.0,False,0.0,20,0.0,False,1
0,0,0.31,1.0,True,42,0.04,0,0.0,0.84,0.0,0.0,0.0,False,1,False,0.0,20,104,0.34,True,0.0,1,0.0,False,0
0,0,0.04,0.06,False,7,0.01,0,1.0,0.07,1.0,1.0,1.0,True,290,False,0.0,21,255,0.0,True,0.0,11,0.0,False,1
653,5845,1.0,0.0,False,238,1.0,0,0.0,0.0,0.0,0.22,0.0,False,8,True,0.13,21,33,0.01,False,0.0,12,0.84,False,0
5298,0,0.03,1.0,False,1,0.0,0,0.0,0.04,0.0,0.0,0.0,False,144,False,0.0,20,255,0.63,False,0.0,3,1.0,False,1
4209,0,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,12,True,0.0,21,255,0.0,False,0.0,17,0.0,False,0
0,0,1.0,0.0,True,253,1.0,0,0.0,0.0,0.0,0.0,0.0,False,94,False,0.0,18,255,0.0,False,0.0,243,0.0,True,0
1276,0,1.0,0.0,True,155,0.7,1,0.0,0.04,0.0,0.0,0.0,False,0,False,0.05,21,80,0.01,False,1.0,2,0.0,False,0
0,0,0.05,0.07,False,4,0.06,0,0.0,0.07,0.0,0.0,0.0,False,116,False,0.0,21,255,0.0,True,0.0,16,1.0,False,1
0,0,0.06,0.08,False,18,0.06,0,1.0,0.06,1.0,1.0,1.0,True,110,False,0.0,20,255,0.0,False,0.0,15,0.0,False,1
5197,70,0.04,0.06,False,21,0.06,0,1.0,0.08,1.0,1.0,1.0,True,193,False,0.0,19,255,0.0,False,0.0,3,0.0,False,1
0,93,1.0,0.0,True,214,1.0,1,0.0,0.0,0.0,0.0,0.0,False,24,True,0.01,21,11,0.02,False,0.01,37,0.0,False,0
0,0,1.0,0.0,True,152,1.0,0,0.0,0.0,0.0,0.0,0.0,False,3,False,0.5,17,13,0.99,False,0.99,41,0.0,False,1
0,0,1.0,0.0,True,218,1.0,0,0.0,0.0,0.0,0.0,0.0,False,275,False,0.0,18,255,0.61,False,0.0,325,0.0,True,0
0,0,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,8,False,0.05,21,11,0.04,False,0.07,24,0.0,True,0
0,0,0.14,0.05,False,23,0.04,0,1.0,0.07,1.0,1.0,1.0,True,121,False,0.0,18,118,0.01,True,0.0,18,0.0,False,1
2535,0,0.08,0.07,False,17,0.07,0,1.0,0.07,1.0,1.0,1.0,True,91,False,0.0,19,255,0.0,False,0.0,2,0.0,False,1
0,0,1.0,0.0,True,250,0.91,0,0.0,0.01,0.0,0.0,0.0,False,6,False,0.0,21,255,0.0,False,0.01,235,0.0,True,0
0,3799,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,1,True,0.0,21,255,0.0,False,0.18,15,0.0,False,0
0,0,1.0,0.0,True,242,0.96,0,0.0,0.01,0.0,0.0,0.0,False,6,False,0.0,21,255,0.0,False,0.3,190,0.0,True,0
3461,0,1.0,0.0,True,70,1.0,0,0.0,0.0,0.0,0.0,0.0,False,55,False,0.0,16,254,1.0,False,0.99,55,0.0,False,1
0,0,0.07,0.06,False,14,0.01,0,0.0,0.09,0.01,1.0,0.0,False,144,False,0.0,20,255,0.0,True,0.0,8,1.0,False,1
1620,0,0.04,0.05,False,17,0.06,0,1.0,0.07,1.0,1.0,1.0,True,210,False,0.0,19,255,0.0,False,0.0,6,0.0,False,1
0,3176,1.0,0.0,True,255,1.0,1,0.02,0.0,0.0,0.0,0.0,False,31,True,0.0,21,255,0.0,False,0.07,26,0.0,False,0
218,2568,0.06,0.06,False,24,0.03,0,0.0,0.07,0.0,1.0,0.0,False,216,False,0.0,20,255,0.0,True,0.0,18,1.0,False,1
0,2187,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,28,True,0.05,21,104,0.01,False,0.07,29,0.0,False,0
0,1213,1.0,0.0,True,188,0.92,0,0.0,0.01,0.0,0.0,0.0,False,191,False,0.0,18,255,0.0,False,0.0,208,0.0,True,0
6632,926,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,12,True,0.05,21,255,0.0,False,0.07,22,0.0,False,0
0,0,0.01,1.0,False,0,0.0,0,0.1,1.0,0.0,0.06,0.0,False,382,False,0.0,20,255,0.0,False,0.0,0,1.0,False,1
0,5111,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,2,True,0.06,21,17,0.11,False,0.0,12,0.0,False,0
458,3133,1.0,0.0,True,254,1.0,1,0.0,0.0,0.0,0.0,0.0,False,2,True,0.0,21,255,0.0,False,0.0,3,0.0,False,0
0,0,1.0,0.0,True,241,0.61,0,0.0,0.01,0.0,0.0,0.0,False,33,False,0.0,20,255,0.0,False,0.01,134,0.0,True,0
2195,424,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,14,True,0.0,21,255,0.01,False,0.0,9,0.0,False,0
5914,6220,1.0,0.0,True,255,1.0,1,0.01,0.0,0.01,0.07,0.09,False,20,True,0.01,21,104,0.01,False,0.39,19,0.0,False,0
11903,3345,0.25,0.16,False,79,0.2,0,1.0,0.07,1.0,1.0,1.0,True,26,False,0.0,9,255,0.0,False,0.0,7,0.0,False,1
0,0,1.0,0.0,False,255,1.0,0,0.0,0.0,0.0,0.08,0.0,False,3,True,0.15,20,231,0.31,False,0.0,3,0.99,False,0
412,1145,0.02,0.06,False,18,0.0,0,1.0,0.03,1.0,1.0,1.0,True,200,False,0.0,18,255,0.0,False,0.0,10,0.0,False,1
1587,0,1.0,0.0,True,57,0.26,0,0.0,0.02,0.0,0.0,0.0,False,2,False,0.0,16,254,0.3,False,1.0,40,0.0,False,1
0,0,1.0,0.0,True,248,0.94,0,0.0,0.01,0.0,0.0,0.0,False,2,False,0.0,21,255,0.0,False,0.01,214,0.0,True,0
2282,0,1.0,0.0,True,255,1.0,0,0.0,0.0,0.0,0.0,0.0,False,32,True,0.0,20,255,0.0,False,0.0,25,0.0,False,0
1312,0,1.0,0.0,True,255,1.0,0,0.0,0.02,0.0,0.0,0.0,False,186,False,0.0,20,255,0.0,False,0.01,145,0.0,True,0
0,7919,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,1,True,0.03,21,11,0.03,False,0.0,2,0.0,False,0
7799,0,1.0,0.0,False,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,2,True,0.0,20,60,0.0,False,0.0,2,1.0,False,0
1890,409,0.02,0.06,False,2,0.02,0,1.0,0.07,1.0,1.0,1.0,True,200,False,0.0,19,255,0.0,True,0.0,1,0.0,False,1
8250,286,1.0,0.0,True,45,1.0,0,0.0,0.0,0.0,0.0,0.0,False,0,False,0.5,17,1,1.0,False,1.0,3,0.0,False,1
0,772,0.0,0.98,False,0,0.01,0,0.0,1.0,0.0,0.07,0.0,False,377,False,0.0,18,255,0.0,True,0.0,1,0.99,False,1
0,4232,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,8,True,0.06,21,49,0.03,False,0.0,13,0.0,False,0
0,2975,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,16,True,0.0,21,255,0.0,False,0.0,52,0.0,False,0
9918,2309,1.0,0.0,True,173,0.48,1,0.0,0.02,0.01,0.0,0.0,False,3,True,0.0,21,242,0.0,False,0.0,19,0.0,False,0
0,0,0.31,0.08,False,21,0.02,0,1.0,0.07,1.0,1.0,1.0,True,72,False,0.0,21,255,0.0,True,0.0,12,0.0,False,1
2978,0,1.0,0.0,False,255,1.0,1,0.01,0.0,0.01,0.0,0.0,False,2,True,0.04,12,104,0.03,False,0.08,35,0.02,False,0
2383,0,0.0,0.14,False,0,0.0,0,1.0,0.05,1.0,1.0,1.0,True,364,False,0.0,17,255,0.0,True,0.0,0,0.0,False,1
5396,46,1.0,0.0,False,6,0.06,0,0.0,0.07,0.0,0.0,0.0,False,268,False,0.0,18,255,0.71,False,0.0,4,1.0,False,1
