src_bytes,dst_bytes,same_srv_rate,diff_srv_rate,flag_SF,dst_host_srv_count,dst_host_same_srv_rate,logged_in,dst_host_serror_rate,dst_host_diff_srv_rate,dst_host_srv_serror_rate,serror_rate,srv_serror_rate,flag_S0,count,service_http,dst_host_srv_diff_host_rate,level,dst_host_count,dst_host_same_src_port_rate,service_private,srv_diff_host_rate,srv_count,dst_host_srv_rerror_rate,service_domain_u,target
0,0,0.01,0.07,False,1,0.0,0,1.0,0.06,1.0,1.0,1.0,True,101,False,0.0,19,255,0.0,False,0.0,1,0.0,False,1
0,0,0.05,0.07,False,5,0.02,0,1.0,0.07,1.0,1.0,1.0,True,105,False,0.0,19,255,0.0,False,0.0,5,0.0,False,1
1069,333,1.0,0.0,True,203,1.0,1,0.0,0.0,0.0,0.0,0.0,False,1,False,0.01,21,16,0.06,False,1.0,2,0.0,False,0
0,0,0.05,0.06,False,10,0.04,0,1.0,0.06,1.0,1.0,1.0,True,188,False,0.0,19,255,0.0,False,0.0,10,0.0,False,1
0,0,0.08,0.06,False,18,0.07,0,1.0,0.07,1.0,1.0,1.0,True,220,False,0.0,18,255,0.0,False,0.0,18,0.0,False,1
268,259,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,1,True,0.05,21,1,1.0,False,0.0,1,0.0,False,0
172,3935,1.0,0.0,True,255,1.0,1,0.1,0.0,0.0,0.0,0.0,False,1,True,0.05,21,10,0.1,False,0.0,1,0.0,False,0
0,0,1.0,0.0,False,250,1.0,0,0.0,0.0,0.0,0.0,0.0,False,11,True,0.18,20,46,0.02,False,0.0,11,0.98,False,0
0,0,1.0,0.0,False,212,0.84,0,0.0,0.01,0.0,0.0,0.0,False,1,True,0.0,21,252,0.0,False,1.0,2,1.0,False,0
48,48,1.0,0.0,True,71,0.28,0,0.0,0.01,0.0,0.0,0.0,False,1,False,0.0,21,255,0.28,False,0.0,1,0.0,False,0
42,71,1.0,0.01,True,240,0.94,0,0.0,0.02,0.0,0.0,0.0,False,215,False,0.0,18,255,0.0,False,0.0,214,0.0,True,0
0,0,0.08,0.05,False,20,0.08,0,1.0,0.05,1.0,1.0,1.0,True,251,False,0.0,19,255,0.0,False,0.0,20,0.0,False,1
237,294,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,8,True,0.0,21,255,0.0,False,0.22,9,0.0,False,0
0,0,0.07,0.06,False,15,0.06,0,1.0,0.08,1.0,1.0,1.0,True,201,False,0.0,21,255,0.0,True,0.0,15,0.0,False,1
251,834,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,38,True,0.03,21,122,0.01,False,0.0,38,0.0,False,0
1723,330,1.0,0.0,True,12,0.75,1,0.0,0.12,0.0,0.0,0.0,False,1,False,0.0,21,16,0.06,False,1.0,2,0.0,False,0
0,0,0.04,0.05,False,12,0.05,0,1.0,0.05,1.0,1.0,1.0,True,297,False,0.0,20,255,0.0,False,0.0,12,0.0,False,1
43,69,1.0,0.0,True,255,1.0,0,0.0,0.0,0.0,0.0,0.0,False,123,False,0.0,18,255,0.01,False,0.0,123,0.0,True,0
0,0,0.02,0.06,False,6,0.02,0,0.0,0.07,0.0,0.0,0.0,False,252,False,0.0,18,255,0.0,False,0.0,6,1.0,False,1
0,0,0.06,0.06,False,19,0.07,0,1.0,0.07,1.0,1.0,1.0,True,178,False,0.0,19,255,0.0,True,0.0,10,0.0,False,1
0,0,0.07,0.08,False,17,0.07,0,1.0,0.08,1.0,1.0,1.0,True,237,False,0.0,21,255,0.0,True,0.0,17,0.0,False,1
0,0,0.02,0.06,False,15,0.06,0,1.0,0.06,1.0,1.0,1.0,True,261,False,0.0,20,255,0.0,False,0.0,4,0.0,False,1
811,333,1.0,0.0,True,138,0.51,1,0.0,0.08,0.0,0.0,0.0,False,1,False,0.01,21,61,0.02,False,1.0,2,0.0,False,0
520,0,1.0,0.0,True,255,1.0,0,0.0,0.0,0.0,0.0,0.0,False,296,False,0.0,19,255,1.0,False,0.0,296,0.0,False,1
224,471,1.0,0.0,True,255,1.0,1,0.0,0.0,0.02,0.0,0.0,False,14,True,0.07,21,41,0.02,False,0.0,14,0.0,False,0
198,1719,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,12,True,0.05,21,15,0.07,False,0.0,12,0.0,False,0
43,132,1.0,0.0,True,251,0.98,0,0.0,0.01,0.0,0.0,0.0,False,162,False,0.0,18,255,0.0,False,0.01,242,0.0,True,0
45,140,1.0,0.0,True,196,0.79,0,0.0,0.02,0.0,0.0,0.0,False,52,False,0.01,18,192,0.7,False,0.02,202,0.0,True,0
383,0,1.0,0.0,True,77,0.3,1,0.0,0.02,0.0,0.0,0.0,False,2,False,0.0,18,255,0.3,False,0.0,2,0.0,False,0
255,37867,1.0,0.0,True,244,0.96,1,0.0,0.01,0.0,0.0,0.0,False,1,True,0.0,21,255,0.0,False,0.0,1,0.0,False,0
0,0,0.04,0.07,False,5,0.36,0,1.0,0.21,1.0,1.0,1.0,True,112,False,0.0,18,14,0.07,True,0.0,5,0.0,False,1
0,0,0.1,0.08,False,11,0.04,0,1.0,0.07,1.0,1.0,1.0,True,108,False,0.0,18,255,0.0,False,0.0,11,0.0,False,1
278,7205,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,13,True,0.06,21,13,0.08,False,0.1,21,0.0,False,0
0,0,0.08,0.05,False,23,0.09,0,1.0,0.05,1.0,1.0,1.0,True,291,False,0.0,20,255,0.0,False,0.0,23,0.0,False,1
243,1451,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,6,True,0.0,21,255,0.0,False,0.2,10,0.0,False,0
0,0,0.08,0.05,False,22,0.09,0,1.0,0.05,1.0,1.0,1.0,True,285,False,0.0,19,255,0.0,False,0.0,22,0.0,False,1
311,944,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,5,True,0.06,21,45,0.02,False,0.0,5,0.0,False,0
0,0,0.01,0.06,False,2,0.01,0,1.0,0.07,1.0,1.0,1.0,True,131,False,0.0,21,255,0.0,True,0.0,1,0.0,False,1
0,0,0.02,0.06,False,19,0.07,0,1.0,0.08,1.0,1.0,1.0,True,233,False,0.0,21,255,0.0,True,0.0,4,0.0,False,1
44,131,1.0,0.0,True,254,1.0,0,0.0,0.01,0.0,0.0,0.0,False,66,False,0.0,20,255,0.0,False,0.01,146,0.0,True,0
520,0,1.0,0.0,True,231,1.0,0,0.0,0.0,0.0,0.0,0.0,False,443,False,0.0,18,231,1.0,False,0.0,443,0.0,False,1
0,0,0.18,0.07,False,13,0.06,0,1.0,0.06,1.0,1.0,1.0,True,72,False,0.0,18,222,0.0,True,0.0,13,0.0,False,1
43,43,1.0,0.0,True,255,1.0,0,0.0,0.0,0.0,0.0,0.0,False,180,False,0.0,18,255,0.0,False,0.0,180,0.0,True,0
0,0,0.48,0.06,False,56,0.24,0,1.0,0.02,1.0,1.0,1.0,True,33,False,0.0,18,233,0.0,False,0.0,16,0.0,False,1
0,0,0.06,0.06,False,17,0.07,0,1.0,0.07,1.0,1.0,1.0,True,274,False,0.0,21,255,0.0,True,0.0,17,0.0,False,1
0,0,0.09,0.06,False,11,0.04,0,1.0,0.07,1.0,1.0,1.0,True,118,False,0.0,20,255,0.0,False,0.0,11,0.0,False,1
0,0,0.07,0.05,False,20,0.08,0,1.0,0.05,1.0,1.0,1.0,True,300,False,0.0,19,255,0.0,False,0.0,20,0.0,False,1
45,121,1.0,0.0,True,254,1.0,0,0.0,0.01,0.0,0.0,0.0,False,14,False,0.0,21,255,0.0,False,0.0,14,0.0,True,0
243,749,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,21,True,0.0,21,255,0.0,False,0.09,22,0.0,False,0
288,2055,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,17,True,0.0,21,255,0.0,False,0.06,35,0.0,False,0
0,0,0.1,0.05,False,1,0.0,0,1.0,0.08,1.0,1.0,1.0,True,148,False,0.0,19,255,0.0,False,0.0,15,0.0,False,1
322,2713,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,20,True,0.0,21,255,0.0,False,0.04,54,0.0,False,0
325,403,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,19,True,0.03,21,55,0.02,False,0.14,22,0.0,False,0
29,0,1.0,0.0,True,80,0.13,0,0.0,0.13,0.0,0.0,0.0,False,1,False,0.04,21,30,0.13,False,1.0,2,0.0,True,0
105,147,1.0,0.0,True,84,0.99,0,0.0,0.02,0.0,0.0,0.0,False,1,False,0.0,20,85,0.01,True,0.0,1,0.0,False,0
45,74,1.0,0.0,True,255,1.0,0,0.0,0.0,0.0,0.0,0.0,False,177,False,0.0,18,255,0.01,False,0.0,177,0.0,True,0
1,0,0.64,0.06,True,126,0.49,0,0.0,0.06,0.0,0.0,0.0,False,103,False,0.0,18,255,1.0,True,0.0,66,0.0,False,1
