flag_SF,target,src_bytes,dst_host_diff_srv_rate,dst_host_same_srv_rate,dst_host_same_src_port_rate,dst_bytes,service_private,service_domain_u,dst_host_serror_rate,srv_serror_rate,srv_diff_host_rate,srv_count,dst_host_count,dst_host_srv_count,dst_host_srv_serror_rate,logged_in,diff_srv_rate,count,service_http,level,serror_rate,dst_host_srv_diff_host_rate,flag_S0,same_srv_rate,dst_host_srv_rerror_rate
True,0,664,0.0,1.0,0.0,138,False,False,0.0,0.0,0.0,4,3,255,0.0,0,0.0,1,False,20,0.0,0.0,False,1.0,0.0
True,0,35,0.0,1.0,0.01,141,False,True,0.01,0.0,0.0,158,31,163,0.0,0,0.0,270,False,18,0.0,0.0,False,1.0,0.0
False,0,0,0.0,1.0,1.0,0,False,False,0.0,0.0,1.0,17,2,251,0.0,0,0.0,1,True,21,0.0,0.14,False,1.0,0.69
False,1,0,0.07,0.08,0.0,0,False,False,1.0,1.0,0.0,11,255,20,1.0,0,0.07,205,False,19,1.0,0.0,True,0.02,0.0
False,1,0,0.07,0.06,0.0,0,True,False,1.0,1.0,0.0,1,255,16,1.0,0,0.07,180,False,21,1.0,0.0,True,0.05,0.0
True,0,282,0.0,1.0,0.01,81172,False,False,0.1,0.0,0.11,1,255,254,0.0,1,0.0,2,True,21,0.0,0.0,False,1.0,0.8
True,0,334,0.0,1.0,0.0,8357,False,False,0.0,0.0,0.0,1,230,255,0.0,1,0.0,11,True,21,0.0,0.08,False,1.0,0.0
False,1,0,0.0,0.01,0.02,146,False,False,1.0,1.0,0.0,27,255,255,1.0,0,0.07,246,True,21,1.0,0.0,True,0.31,0.0
True,0,371,0.01,1.0,0.08,6406,False,False,0.0,0.0,0.15,11,255,255,0.01,1,0.0,2,True,21,0.0,0.02,False,1.0,0.0
False,1,0,0.06,0.03,0.0,0,False,False,1.0,1.0,0.0,16,255,7,1.0,0,0.07,116,False,18,1.0,0.0,True,0.15,0.0
True,0,313,0.0,1.0,0.0,9692,False,False,0.0,0.0,0.0,1,16,255,0.01,1,0.0,21,True,21,0.0,0.08,False,1.0,0.0
True,0,45,0.01,0.92,1.0,0,False,True,0.0,0.0,0.01,227,6,235,0.0,0,0.0,1,False,18,0.0,0.0,False,1.0,0.0
False,1,0,1.0,0.0,0.0,0,True,False,1.0,1.0,0.0,22,255,1,1.0,0,0.06,119,False,19,1.0,0.0,True,0.13,0.0
True,0,284,0.01,0.95,0.0,1676,False,False,0.0,0.0,0.19,2,255,242,0.0,1,0.0,11,True,21,0.0,0.0,False,1.0,0.0
False,1,0,0.0,1.0,0.0,1163,False,False,1.0,1.0,0.0,1,255,255,1.0,1,0.05,52,True,13,1.0,0.0,True,0.1,0.0
True,0,337,0.0,1.0,0.33,980,False,False,0.01,0.0,0.0,1,255,255,0.0,1,0.0,3,True,21,0.0,0.0,False,1.0,0.0
True,0,181,0.0,1.0,0.01,0,False,False,0.0,0.0,0.0,3,248,255,0.0,1,0.0,22,True,21,0.0,0.04,False,1.0,0.0
False,1,0,0.05,0.02,1.0,0,True,False,0.0,0.0,0.0,8,255,5,0.0,0,0.07,47,False,17,0.0,0.0,False,0.0,1.0
True,0,240,0.03,0.18,0.0,0,False,False,0.0,0.0,0.0,5,38,4,0.0,1,0.0,1,False,21,0.0,0.01,False,1.0,0.0
True,0,1032,0.0,1.0,0.0,3831,False,False,0.0,0.0,0.0,2,255,255,0.0,1,0.0,15,True,21,0.0,0.0,False,1.0,0.0
False,1,0,0.0,0.01,0.0,0,False,False,1.0,1.0,1.0,12,255,255,1.0,0,0.06,259,True,18,1.0,0.0,True,0.07,0.0
False,1,0,0.07,0.0,0.0,0,False,False,1.0,1.0,0.0,1,255,1,1.0,0,0.06,284,False,19,1.0,0.0,True,0.02,0.0
False,1,0,0.06,0.02,0.02,0,False,False,1.0,1.0,0.0,2,255,6,1.0,0,0.05,88,False,18,1.0,0.0,True,0.07,0.0
True,0,46,0.0,1.0,0.0,0,False,True,0.0,0.0,0.0,4,255,255,0.0,0,0.0,1,False,20,0.0,0.0,False,1.0,0.0
False,1,0,0.05,0.06,0.0,0,False,False,1.0,1.0,0.0,6,255,2,1.0,0,1.0,243,False,18,1.0,0.0,True,0.0,0.0
True,0,1280,0.0,1.0,0.0,363,False,False,0.01,0.0,0.06,19,255,255,0.0,1,0.0,7,True,21,0.0,0.03,False,1.0,0.0
True,0,146,0.0,1.0,0.09,715,False,False,0.0,0.0,0.0,1,255,121,0.0,1,0.0,1,False,21,0.0,0.02,False,1.0,0.0
True,0,329,0.02,0.45,0.23,10757,False,False,0.0,0.0,0.0,8,255,116,0.0,1,0.0,14,False,21,0.0,0.0,False,1.0,0.0
True,0,5558,0.0,1.0,0.11,1551,False,False,0.0,0.0,0.12,11,255,255,0.0,1,0.0,7,True,21,0.0,0.07,False,1.0,0.02
True,0,333,0.0,1.0,0.03,2214,False,False,0.0,0.0,0.75,1,255,255,0.0,1,0.0,2,True,20,0.0,0.04,False,1.0,0.0
False,1,0,0.06,0.04,0.0,0,False,False,1.0,1.0,0.0,11,255,10,1.0,0,0.06,214,False,19,1.0,0.0,True,0.02,0.0
False,0,0,0.0,1.0,1.0,0,False,False,0.0,0.0,0.0,1,24,255,0.0,0,0.0,1,True,21,0.0,0.11,False,1.0,1.0
False,1,0,0.05,0.07,0.0,0,False,False,1.0,1.0,0.0,1,255,19,0.6,0,0.0,14,False,18,1.0,0.0,True,1.0,0.0
True,0,36,0.01,0.92,0.01,0,False,True,0.0,0.0,0.25,156,255,235,0.0,0,0.0,126,False,18,0.0,0.0,False,1.0,0.0
True,0,44,0.0,1.0,0.6,0,False,True,0.0,0.0,0.02,210,255,255,0.0,0,0.0,27,False,19,0.0,0.0,False,1.0,0.0
True,0,300,0.0,1.0,0.01,335,False,False,0.0,0.0,0.0,20,227,255,0.0,1,0.0,32,True,21,0.0,0.0,False,1.0,0.0
True,0,8,0.07,0.08,0.0,0,False,False,0.0,0.0,0.0,3,255,20,0.0,0,0.0,231,False,19,0.0,0.0,False,1.0,0.0
True,0,247,0.0,1.0,0.16,245,False,False,0.0,0.0,0.0,1,79,36,0.0,1,0.0,1,False,21,0.0,0.01,False,1.0,0.0
False,1,0,0.07,0.06,0.0,145,False,False,1.0,1.0,0.0,15,255,15,1.0,0,0.06,251,False,21,1.0,0.0,True,0.07,0.0
True,0,1580,0.38,0.75,1.0,8314,False,False,0.02,0.0,0.0,6,212,192,0.0,1,0.0,1,False,21,0.0,0.0,False,1.0,0.0
True,0,217,0.0,1.0,0.0,4083,False,False,0.0,0.0,0.0,1,34,255,0.0,1,0.0,2,True,21,0.0,0.02,False,1.0,0.0
True,1,218,0.06,0.12,1.0,3891,False,False,0.0,0.0,0.0,7,4,19,0.0,1,0.0,3,False,10,0.0,0.0,False,1.0,0.0
True,0,2732,0.0,1.0,0.01,471,False,False,0.0,0.0,0.0,1,121,75,0.0,1,0.0,1,False,21,0.0,0.0,False,1.0,0.0
False,1,0,0.02,0.15,0.0,0,False,False,1.0,1.0,0.0,46,255,19,1.0,0,0.06,249,False,21,1.0,0.0,True,0.07,0.0
True,0,143,0.0,1.0,0.02,2035,False,False,0.0,0.0,0.0,2,255,255,0.0,1,0.0,10,True,21,0.0,0.01,False,1.0,0.0
True,0,520,0.02,0.65,0.01,632,False,False,0.0,0.0,0.0,14,6,149,0.0,1,0.0,3,True,21,0.0,0.0,False,1.0,0.0
False,1,0,0.07,0.07,0.0,0,False,False,0.0,0.0,0.0,3,255,17,0.0,0,1.0,1,False,20,0.0,0.0,False,0.5,1.0
False,1,0,0.07,0.02,0.0,0,True,False,1.0,1.0,0.0,8,255,2,1.0,0,0.07,196,False,19,1.0,0.0,True,0.15,0.0
True,0,235,0.0,1.0,0.0,329,False,False,0.0,0.0,0.12,9,114,255,0.0,1,0.0,5,True,21,0.0,0.0,False,1.0,0.0
True,0,227,0.03,0.76,1.0,1410,False,False,0.0,0.0,0.0,1,255,105,0.0,1,0.0,1,False,21,0.0,0.0,False,1.0,0.0
True,0,33,0.08,0.77,0.01,0,False,True,0.0,0.2,0.01,225,255,113,0.0,0,0.0,89,False,18,0.0,0.0,False,1.0,0.0
False,1,0,0.07,0.07,0.0,0,False,False,1.0,1.0,0.0,19,255,19,1.0,0,0.06,245,False,20,1.0,0.0,True,0.12,0.0
True,0,46,0.0,1.0,0.0,137,False,True,0.0,0.0,0.0,145,66,255,0.0,0,0.0,9,False,21,0.0,0.0,False,1.0,0.0
True,0,351,0.0,1.0,0.0,12348,False,False,0.0,0.0,0.2,37,254,255,0.0,1,0.0,2,True,21,0.0,0.0,False,1.0,0.0
True,0,1416,0.0,1.0,0.01,310,False,False,0.0,0.0,1.0,11,6,20,0.0,1,0.0,1,False,21,0.0,0.22,False,1.0,0.0
True,0,10073,0.0,1.0,0.0,745,False,False,0.0,0.0,0.0,72,66,255,0.01,1,0.0,2,True,21,0.0,0.01,False,1.0,0.0
True,0,455,0.0,1.0,0.0,606,False,False,0.0,0.0,0.09,1,8,255,0.0,1,0.0,19,True,21,0.0,0.01,False,1.0,0.0
False,1,0,0.09,0.07,0.0,0,False,False,1.0,1.0,0.0,1,255,18,1.0,0,0.5,246,False,20,1.0,0.0,True,0.25,0.0
True,0,288,0.0,1.0,0.01,0,False,False,0.0,0.0,0.0,1,255,255,0.0,1,0.0,8,True,21,0.0,0.06,False,1.0,0.0
False,1,0,1.0,0.0,0.29,0,True,False,0.14,0.0,0.0,3,255,1,0.0,0,0.05,34,False,20,0.0,0.0,False,0.07,1.0
True,0,238,0.0,1.0,0.02,104132,False,False,0.0,0.0,0.0,4,80,229,0.0,1,0.0,9,True,21,0.0,0.03,False,1.0,0.0
False,1,0,0.0,0.01,0.0,0,False,False,1.0,1.0,0.0,2,100,255,1.0,0,0.06,47,True,18,1.0,0.0,True,0.06,0.0
True,0,305,0.03,0.65,0.02,584,False,False,0.0,0.0,0.0,22,4,122,0.0,1,0.0,41,True,21,0.0,0.0,False,1.0,0.0
True,0,229,0.05,0.09,0.0,0,False,False,0.0,0.0,0.0,4,88,23,0.0,1,0.0,1,False,21,0.0,0.05,False,1.0,0.0
False,0,0,0.0,1.0,0.01,0,False,False,0.0,0.0,0.0,2,103,255,0.79,0,0.0,1,True,21,0.0,0.09,False,1.0,1.0
False,1,0,0.0,0.01,0.0,0,False,False,0.0,0.0,1.0,9,255,255,0.0,0,0.0,293,True,20,0.08,0.0,False,1.0,0.99
False,1,0,0.04,0.15,0.0,0,False,False,0.0,0.0,0.0,1,255,13,0.0,0,0.06,1,False,15,0.0,0.0,False,0.13,1.0
False,1,0,0.01,0.27,0.0,70,True,False,0.0,0.0,0.0,20,255,68,0.0,0,0.0,1,True,18,0.0,0.0,False,1.0,1.0
False,1,0,0.08,0.07,0.0,105,False,False,1.0,1.0,0.0,1,255,19,1.0,0,1.0,277,False,18,1.0,0.0,True,0.0,0.0
True,0,252,0.0,1.0,0.0,14553,False,False,0.0,0.0,0.0,419,255,255,0.0,1,0.0,25,True,21,0.0,0.0,False,1.0,0.0
False,1,0,0.05,0.08,0.0,0,False,False,1.0,1.0,0.0,19,255,3,1.0,0,0.06,286,False,19,1.0,0.05,True,0.07,0.0
False,1,0,0.85,0.0,0.0,0,True,False,1.0,1.0,0.0,1,255,1,1.0,0,0.06,130,False,19,1.0,0.0,True,0.05,0.0
False,1,0,0.0,0.01,0.0,130,False,False,0.0,0.0,0.0,1,255,131,0.0,0,1.0,1,False,20,0.06,0.0,False,0.0,1.0
True,0,48,0.0,0.01,0.0,0,False,False,0.0,0.0,0.0,20,255,255,0.0,0,0.0,1,False,18,0.0,0.0,False,1.0,0.0
True,0,5319,0.0,1.0,0.02,332,False,False,0.0,0.0,0.0,16,87,255,0.0,1,0.0,11,True,21,0.0,0.03,False,1.0,0.0
True,0,44,0.01,0.94,0.09,0,False,True,0.0,0.0,1.0,17,32,239,0.0,0,0.0,1,False,18,0.0,0.0,False,1.0,0.0
