src_bytes,dst_bytes,same_srv_rate,diff_srv_rate,flag_SF,dst_host_srv_count,dst_host_same_srv_rate,logged_in,dst_host_serror_rate,dst_host_diff_srv_rate,dst_host_srv_serror_rate,serror_rate,srv_serror_rate,flag_S0,count,service_http,dst_host_srv_diff_host_rate,level,dst_host_count,dst_host_same_src_port_rate,service_private,srv_diff_host_rate,srv_count,dst_host_srv_rerror_rate,service_domain_u,target
355,2259,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,2,True,0.04,21,19,0.05,False,0.0,2,0.0,False,0
18828976,33116,1.0,0.0,True,24,0.65,1,0.03,0.08,0.04,0.0,0.0,False,1,False,0.0,20,37,0.03,False,0.0,1,0.04,False,0
2194619,0,1.0,0.0,True,24,0.10999999999999999,0,0.0,0.05,0.0,0.0,0.0,False,2,False,0.08,19,129,0.11,False,0.0,2,0.0,False,0
7847476,474404,1.0,0.0,True,3,0.18999999999999995,0,0.0,0.25,0.0,0.0,0.0,False,1,False,0.0,19,16,0.06,False,0.0,1,0.0,False,0
0,5129964,1.0,0.0,True,64,0.25,0,0.74,0.02,0.855,0.0,0.0,False,1,False,0.0,10,255,0.0,False,0.0,1,0.0,False,0
24418776,118160,1.0,0.0,True,16,0.06000000000000005,1,0.0,0.03,0.0,0.0,0.0,False,1,False,0.0,19,255,0.0,False,0.0,1,0.0,False,0
113,1285078,1.0,0.0,True,9,0.06000000000000005,1,0.0,0.03,0.0,0.0,0.0,False,1,False,0.0,20,149,0.009999999999999995,False,0.0,1,0.0,False,0
501760,0,1.0,0.0,True,90,0.67,1,0.0,0.03,0.0,0.0,0.0,False,2,False,0.02,20,96,0.67,False,0.0,2,0.0,False,0
5097472,87532,1.0,0.0,True,21,0.62,1,0.03,0.09,0.05,0.0,0.0,False,1,False,0.0,20,34,0.03,False,0.0,1,0.05,False,0
11396904,430260,1.0,0.0,True,2,0.030000000000000027,1,0.0,0.09,0.0,0.0,0.0,False,2,False,0.0,20,77,0.009999999999999995,False,0.0,2,0.0,False,0
465,320362,1.0,0.0,True,11,1.0,1,0.0,0.0,0.0,0.0,0.0,False,1,False,0.73,19,1,1.0,False,0.0,1,0.0,False,0
21945520,98084,1.0,0.0,True,29,0.10999999999999999,1,0.0,0.03,0.0,0.0,0.0,False,1,False,0.0,19,255,0.0,False,0.0,1,0.0,False,0
310,3746371,1.0,0.0,False,255,1.0,1,0.03,0.0,0.01,1.0,1.0,False,1,True,0.03,18,58,0.020000000000000004,False,0.0,1,0.0,False,0
18815556,2072416,1.0,0.0,True,2,0.010000000000000009,1,0.0,0.03,0.0,0.0,0.0,False,1,False,0.0,20,239,0.009999999999999995,False,0.0,1,0.0,False,0
224,2776333,1.0,0.0,False,5,0.71,1,0.14,0.42999999999999994,0.2,1.0,1.0,False,1,False,0.0,15,7,0.14,False,0.0,1,0.0,False,0
7665876,1281000,1.0,0.0,True,1,0.010000000000000009,0,0.0,0.04,0.0,0.0,0.0,False,1,False,0.0,19,150,0.009999999999999995,False,0.0,1,0.0,False,0
175337,0,1.0,0.0,True,64,0.27,1,0.0,0.03,0.0,0.0,0.0,False,2,False,0.0,19,233,0.27,False,0.0,2,0.0,False,0
1210740,251536,1.0,0.0,True,1,0.010000000000000009,1,0.0,0.08,0.0,0.0,0.0,False,1,False,0.0,20,80,0.009999999999999995,False,0.0,1,0.0,False,0
329,646195,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,8,True,0.009999999999999998,20,100,0.009999999999999995,False,0.0,8,0.02,False,0
4002852,504344,0.67,0.67,True,2,0.010000000000000009,1,0.0,0.61,0.0,0.0,0.0,False,3,False,0.0,20,255,0.0,False,0.0,2,0.0,False,0
293,38125,1.0,0.0,True,255,1.0,1,0.0,0.0,0.0,0.0,0.0,False,10,True,0.009999999999999998,21,10,0.1,False,0.11,19,0.0,False,0
710,1632218,1.0,0.0,True,17,0.17000000000000004,1,0.0,0.04,0.0,0.0,0.0,False,1,False,0.0,21,99,0.009999999999999995,False,0.0,1,0.0,False,0
2293136,650800,1.0,0.0,True,1,0.5,0,0.0,1.0,0.0,0.0,0.0,False,1,False,0.0,19,2,0.5,False,0.0,1,0.0,False,0
794,152110,1.0,0.0,True,3,0.38,1,0.0,0.25,0.0,0.0,0.0,False,1,False,0.0,20,8,0.12,False,0.0,1,0.0,False,0
5664648,96140,1.0,0.0,True,22,0.63,1,0.03,0.09,0.05,0.0,0.0,False,1,False,0.0,20,35,0.03,False,0.0,1,0.05,False,0
228,11764,1.0,0.0,True,122,1.0,1,0.0,0.0,0.01,0.0,0.0,False,2,True,0.08,21,22,0.05,False,0.12,24,0.0,False,0
1604,920608,1.0,0.0,True,8,0.4,1,0.0,0.1,0.0,0.0,0.0,False,1,False,0.0,20,20,0.05,False,0.0,1,0.0,False,0
873728,299236,1.0,0.0,False,2,0.17999999999999994,1,0.09,0.44999999999999996,0.5,1.0,1.0,False,1,False,0.0,12,11,0.09,False,0.0,1,0.0,False,0
