src_bytes,dst_bytes,same_srv_rate,diff_srv_rate,flag_SF,dst_host_srv_count,dst_host_same_srv_rate,logged_in,dst_host_serror_rate,dst_host_diff_srv_rate,dst_host_srv_serror_rate,serror_rate,srv_serror_rate,flag_S0,count,service_http,dst_host_srv_diff_host_rate,level,dst_host_count,dst_host_same_src_port_rate,service_private,srv_diff_host_rate,srv_count,dst_host_srv_rerror_rate,service_domain_u,target
0,0,0.14,0.06,FALSE,14,0.06,0,1,0.09,1,1,1,TRUE,167,FALSE,0,21,255,0,TRUE,0,17,0,FALSE,1
9680,9139,1,0,TRUE,255,1,1,0,0,0,0,0,FALSE,12,TRUE,0.04,21,74,0.04,FALSE,0.16,14,0,FALSE,0
1443,1032,1,0,TRUE,255,1,1,0,0,0,0,0,FALSE,2,TRUE,0.02,21,23,0.02,FALSE,0,5,0,FALSE,0
6650,0,0.19,0.07,FALSE,14,0.04,0,0,0.18,0,0,0,FALSE,133,FALSE,0,20,255,0.03,TRUE,0,12,1,FALSE,1
0,0,1,0,TRUE,255,1,1,0,0,0,0,0,FALSE,2,TRUE,0.02,21,26,0.03,FALSE,0,2,0,FALSE,0
0,0,0.02,0.07,FALSE,5,0.05,0,1,0.08,1,1,1,TRUE,236,FALSE,0,21,255,0,FALSE,0,15,0,FALSE,1
0,0,1,0,TRUE,255,1,0,0,0,0,0,0,FALSE,4,TRUE,0.02,21,5,0.99,FALSE,0,26,0,FALSE,0
4219,0,0.07,0.07,FALSE,5,0.03,0,0.09,0.19,0,0,0,FALSE,103,FALSE,0,20,255,0,FALSE,0,2,1,FALSE,1
0,0,1,0,TRUE,46,0.71,1,0,0.06,0,0,0,FALSE,3,FALSE,0.02,20,60,0.11,FALSE,0,1,0,FALSE,0
10841,3814,1,0,TRUE,255,1,1,0,0,0,0,0,FALSE,15,TRUE,0.07,21,137,0.01,FALSE,0.29,10,0,FALSE,0
0,0,1,0.05,TRUE,25,0.71,0,0,0.13,0,0,0,FALSE,137,FALSE,0,21,255,0,TRUE,0,119,0,FALSE,1
4749,0,0.11,0.06,FALSE,18,0.08,0,1,0.07,1,1,1,TRUE,290,FALSE,0,18,255,0,FALSE,0,22,0,FALSE,1
