src_bytes,dst_bytes,same_srv_rate,diff_srv_rate,flag_SF,dst_host_srv_count,dst_host_same_srv_rate,logged_in,dst_host_serror_rate,dst_host_diff_srv_rate,dst_host_srv_serror_rate,serror_rate,srv_serror_rate,flag_S0,count,service_http,dst_host_srv_diff_host_rate,level,dst_host_count,dst_host_same_src_port_rate,service_private,srv_diff_host_rate,srv_count,dst_host_srv_rerror_rate,service_domain_u,target
118,0,0.06,0.08,False,7,0.04,0,1.0,0.07,1.0,1.0,1.0,True,266,False,0.0,20,255,0.0,False,0.0,24,1.0,False,1
881,3446,1.0,0.0,False,17,1.0,0,0.0,0.99,0.0,0.0,0.0,False,0,False,0.97,12,14,0.03,False,0.0,1,1.0,False,1
0,0,1.0,0.0,False,2,0.0,0,0.0,0.97,0.0,0.0,0.0,False,1,False,1.0,20,20,0.04,False,0.0,1,1.0,False,0
216,0,0.23,0.44,True,5,0.02,0,0.0,0.07,0.0,0.0,0.0,False,5,False,0.0,18,55,0.24,True,0.0,5,0.0,False,0
0,0,1.0,0.0,True,66,0.26,1,0.0,0.07,0.0,0.0,0.0,False,2,False,0.0,18,196,0.01,False,0.0,1,0.0,False,0
1221,0,0.02,0.07,False,10,0.08,0,1.0,0.08,1.0,1.0,1.0,True,221,False,0.0,21,255,0.0,True,0.0,3,0.0,False,1
987,9798,1.0,0.0,True,9,0.11,1,0.0,0.05,0.0,0.0,0.0,False,0,False,0.0,18,133,0.01,False,0.0,1,0.0,False,0
680,480,0.01,0.06,False,6,0.1,0,1.0,0.07,1.0,1.0,1.0,True,263,False,0.0,21,255,0.0,True,0.0,13,0.0,False,1
651,160,0.01,1.0,False,4,0.0,0,0.0,0.53,0.0,0.0,0.0,False,95,False,0.0,18,255,0.66,True,0.0,1,1.0,False,1
0,1461,0.17,0.07,False,254,1.0,0,0.0,0.0,0.0,0.0,0.0,False,133,True,0.0,19,255,0.0,False,0.0,15,1.0,False,1
264,1314,1.0,0.0,True,253,1.0,1,0.0,0.0,0.0,0.0,0.0,False,1,True,0.03,21,8,0.14,False,0.0,8,0.0,False,0
2177,0,0.0,0.06,False,2,0.0,0,1.0,0.08,1.0,1.0,1.0,True,105,False,0.0,19,255,0.0,False,0.0,1,0.0,False,1
0,1158,0.24,0.38,True,73,0.29,1,0.0,0.02,0.0,0.0,0.0,False,2,False,0.0,18,255,0.0,False,0.0,7,0.0,False,0
